1272-128104-0000	MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL
5694-64025-0022	THE ROPE HOWEVER WAS STRONGER THAN THE MULE'S NO AND HE WAS FINALLY PREVAILED UPON BY THE STRENGTH OF THE ROPE TO CROSS THE CREEK
5694-64025-0023	ON MY TAKING THE ROPE OFF HE SHOOK HIMSELF AND SEEMED TO SAY YOU THINK THAT YOU ARE MIGHTY SMART FOLKS BUT YOU ARE A LEETLE TOO SMART
5694-64029-0000	WE REMAINED SEVERAL MONTHS BUT SOON WE WERE ON THE TRAMP AGAIN
5694-64029-0001	THE FEDERAL ARMY WAS CONCENTRATING AT NASHVILLE THERE WAS NO REST FOR THE WEARY
5694-64029-0002	OUR ARMY STOPPED AT MURFREESBORO
5694-64029-0003	FROM TIME TO TIME DIFFERENT REGIMENTS WERE SENT FORWARD TO DO PICKET DUTY
5694-64029-0004	THE YANKEE PICKET LINES WERE NOT A HALF MILE OFF
5694-64029-0005	I AM A VIDET YOU KNOW THE RESPONSIBILITY RESTING ON ME
5694-64029-0006	SAYS HE I WOULD NOT TRUST A SECESH ON HIS WORD OATH OR BOND MARCH I SAY
5694-64029-0007	I SOON FOUND OUT THAT HE HAD CAUGHT SIGHT OF THE RELIEF ON THE ROAD AND WAS AFRAID TO SHOOT I QUICKLY MADE UP MY MIND
5694-64029-0008	MY GUN WAS AT MY FEET AND ONE STEP WOULD GET IT
5694-64029-0009	I MADE A QUICK GLANCE OVER MY SHOULDER AND GRABBED AT MY GUN
5694-64029-0010	HE DIVINED MY MOTIVE AND FIRED THE BALL MISSED ITS AIM
5694-64029-0011	I THINK WE MUST HAVE KILLED A GOOD MANY IN THE OLD FIELD BECAUSE WE WERE FIRING ALL THE TIME AT THE SOLID LINE AS THEY ADVANCED UPON US
5694-64029-0012	WE KEPT FALLING BACK AND FIRING ALL DAY AND WERE RELIEVED BY ANOTHER REGIMENT ABOUT DARK WE REJOINED OUR REGIMENT
5694-64029-0013	LINE OF BATTLE WAS FORMED ON THE NORTH BANK OF STONE'S RIVER ON THE YANKEE SIDE
5694-64029-0014	BAD GENERALSHIP I THOUGHT IT WAS CHRISTMAS
5694-64029-0015	THE PRIVATE COULD BUT HE WAS NO GENERAL YOU SEE
5694-64029-0016	I CALLED LIEUTENANT COLONEL FRIERSON'S ATTENTION TO THE YANKEES AND HE REMARKED WELL I DON'T KNOW WHETHER THEY ARE YANKEES OR NOT BUT IF THEY ARE THEY WILL COME OUT OF THERE MIGHTY QUICK
5694-64029-0017	THE YANKEES MARCHED OVER THE HILL OUT OF SIGHT
5694-64029-0018	WE WERE ORDERED FORWARD TO THE ATTACK
5694-64029-0019	WE WERE RIGHT UPON THE YANKEE LINE ON THE WILKERSON TURNPIKE
5694-64029-0020	WE WERE NOT TWENTY YARDS OFF FROM THE YANKEES AND THEY WERE POURING THE HOT SHOT AND SHELLS RIGHT INTO OUR RANKS AND EVERY MAN WAS YELLING AT THE TOP OF HIS VOICE CEASE FIRING YOU ARE FIRING ON YOUR OWN MEN CEASE FIRING YOU ARE FIRING ON YOUR OWN MEN
5694-64029-0021	OAKLEY COLOR BEARER OF THE FOURTH TENNESSEE REGIMENT RAN RIGHT UP IN THE MIDST OF THE YANKEE LINE WITH HIS COLORS BEGGING HIS MEN TO FOLLOW
5694-64029-0022	THE LEADEN HAIL STORM SWEPT THEM OFF THE FIELD THEY FELL BACK AND RE FORMED
5694-64029-0023	WE WERE AT THAT TIME AT LEAST A HUNDRED YARDS IN ADVANCE OF THE BRIGADE CHEATHAM ALL THE TIME CALLING UPON THE MEN TO COME ON
5694-64029-0024	I SAW AND FELT THAT HE WAS NOT FIGHTING FOR GLORY BUT THAT HE WAS FIGHTING FOR HIS COUNTRY BECAUSE HE LOVED THAT COUNTRY AND HE WAS WILLING TO GIVE HIS LIFE FOR HIS COUNTRY AND THE SUCCESS OF OUR CAUSE
5694-64029-0025	I THOUGHT IT HAD BEEN TORN FROM MY SHOULDER
5694-64029-0026	AS I WENT BACK TO THE FIELD HOSPITAL I OVERTOOK ANOTHER MAN WALKING ALONG
5694-64029-0027	I LOOKED AT IT PRETTY CLOSE AND I SAID GREAT GOD
5694-64029-0028	HE WAS WALKING ALONG WHEN ALL AT ONCE HE DROPPED DOWN AND DIED WITHOUT A STRUGGLE OR A GROAN
5694-64029-0029	BUT I COULD NOT BEAR THE THOUGHT OF WEARING DEAD MEN'S SHOES
5694-64029-0030	HE WAS STONE DEAD BUT I DROPPED THAT FOOT QUICK
5694-64029-0031	BEFORE WE ARRIVED AT THE HOUSE WE SAW A BODY OF YANKEES APPROACHING AND AS WE STARTED TO RUN BACK THEY FIRED UPON US
5694-64029-0032	OUR PICKETS HAD RUN IN AND REPORTED A NIGHT ATTACK
5694-64038-0000	ADVANCE INTO TENNESSEE
5694-64038-0001	YANK SAYS WHAT YOU DOING JOHNNY
5694-64038-0002	WE PASSED AROUND ATLANTA CROSSED THE CHATTAHOOCHEE AND TRAVELED BACK OVER THE SAME ROUTE ON WHICH WE HAD MADE THE ARDUOUS CAMPAIGN UNDER JOE JOHNSTON
5694-64038-0003	OUTSIDE OF THESE OCCASIONAL REMINDERS WE COULD SEE NO EVIDENCE OF THE DESOLATION OF THE TRACK OF AN INVADING ARMY
5694-64038-0004	WE SAW THE UNITED STATES FLAG FLYING FROM THE RAMPARTS AND THOUGHT THAT YANK WOULD PROBABLY BE ASLEEP OR CATCHING LICE OR MAYBE ENGAGED IN A GAME OF SEVEN UP
5694-64038-0005	HE WALKED UP AND SAYS HELLO BOYS WHAT IS IT BOSS
5694-64038-0006	A YANKEE ALWAYS SAYS NAGER
5694-64038-0007	THEY PERSUADED ELOQUENTLY
5694-64038-0008	A MAN IN THE WELL
5694-64038-0009	THE VOICE APPEARED TO BE OVERHEAD
5694-64038-0010	RIGHT BEFORE ME I SAW THE LONG DRY GRASS ALL BENDING TOWARD A COMMON CENTER AND I KNEW THAT IT WAS AN OLD WELL AND THAT MY COMRADE HAD FALLEN IN IT
5694-64038-0011	BUT HOW TO GET HIM OUT WAS THE UNSOLVED PROBLEM
5694-64038-0012	THE POOR FELLOW STAYED IN THAT WELL ALL NIGHT
5694-64038-0013	WE LOOKED ALL AROUND AND THOUGHT THAT THE COAST WAS CLEAR
5694-64038-0014	I DON'T THINK HIS GUN WAS LOADED THOUGH BECAUSE WE DID NOT HEAR THE BALL WHISTLE
5694-64038-0015	WE WALKED OVER THIS FLOATING BRIDGE AND SOON FOUND OURSELVES ON THE TENNESSEE SIDE OF TENNESSEE RIVER
5694-64038-0016	WE HAD BEEF FOR SUPPER THAT NIGHT
5694-64038-0017	HOW EVERY PULSE DID BEAT AND LEAP AND HOW EVERY HEART DID THROB WITH EMOTIONS OF JOY WHICH SEEMED NEARLY AKIN TO HEAVEN WHEN WE RECEIVED THE GLAD INTELLIGENCE OF OUR ONWARD MARCH TOWARD THE LAND OF PROMISE AND OF OUR LOVED ONES
5694-64038-0018	WE WERE INURED TO PRIVATIONS AND HARDSHIPS HAD BEEN UPON EVERY MARCH IN EVERY BATTLE IN EVERY SKIRMISH IN EVERY ADVANCE IN EVERY RETREAT IN EVERY VICTORY IN EVERY DEFEAT
5694-64038-0019	HE WANTED TO GO BY HOME AND TELL HIS WIFE AND CHILDREN GOOD BYE AND TO GET HIS CLOTHES IT WAS NO GO
5694-64038-0020	BUT AFTER AWHILE JIM SAYS GENTLEMEN AY GANNY THE LAW
5694-64038-0021	YOU SEE JIM KNOWED THE LAW
5694-64038-0022	THOSE OLD SOLDIERS HAD LONG LONG AGO FORGOTTEN ABOUT THAT OLD LAW OF THE LONG GONE PAST BUT JIM HAD TREASURED IT UP IN HIS MEMORY LO THESE MANY YEARS AND HE THOUGHT IT WOULD SERVE HIM NOW AS IT HAD NO DOUBT FREQUENTLY DONE IN THE PAST
5694-64038-0023	THE THIRD DAY IT WAS REPORTED THAT THE YANKEES HAD TAKEN POSITION ON THE MURFREESBORO PIKE
5694-64038-0024	A REGIMENT WAS SENT TO THE ATTACK IT WAS JIM'S REGIMENT
5694-64038-0025	HE HADN'T SEEN ANYTHING TO SHOOT AT BUT HE BLAZED AWAY HE LOADED AND FIRED THE SECOND TIME WHEN THEY WERE ORDERED TO RETREAT
5895-34615-0000	BUT IS LAUGHTER A SYNONYM OF JOY
5895-34615-0001	SUCH PERFECT COMPLETENESS IS NOT IN NATURE
5895-34615-0002	HAD GWYNPLAINE WHEN A CHILD BEEN SO WORTHY OF ATTENTION THAT HIS FACE HAD BEEN SUBJECTED TO TRANSMUTATION WHY NOT
5895-34615-0003	ACCORDING TO ALL APPEARANCE INDUSTRIOUS MANIPULATORS OF CHILDREN HAD WORKED UPON HIS FACE
5895-34615-0004	IT SEEMED EVIDENT THAT A MYSTERIOUS AND PROBABLY OCCULT SCIENCE WHICH WAS TO SURGERY WHAT ALCHEMY WAS TO CHEMISTRY HAD CHISELLED HIS FLESH EVIDENTLY AT A VERY TENDER AGE AND MANUFACTURED HIS COUNTENANCE WITH PREMEDITATION
5895-34615-0005	GWYNPLAINE WAS A MOUNTEBANK
5895-34615-0006	HE SHOWED HIMSELF ON THE PLATFORM
5895-34615-0007	IT WAS GWYNPLAINE'S LAUGH WHICH CREATED THE LAUGHTER OF OTHERS YET HE DID NOT LAUGH HIMSELF
5895-34615-0008	THE OUTSIDE DID NOT DEPEND ON THE INTERIOR
5895-34615-0009	NO ONE COULD ESCAPE FROM THIS RICTUS
5895-34615-0010	ALL HIS EMOTIONS WHATEVER THEY MIGHT HAVE BEEN AUGMENTED HIS STRANGE FACE OF JOY OR TO SPEAK MORE CORRECTLY AGGRAVATED IT
5895-34615-0011	AN EVERLASTING LAUGH
5895-34615-0012	THE MANICHAEANS BELIEVED THE ABSOLUTE OCCASIONALLY GIVES WAY AND THAT GOD HIMSELF SOMETIMES ABDICATES FOR A TIME SO ALSO OF THE WILL
5895-34615-0013	THE WHOLE OF EXISTENCE RESEMBLES A LETTER MODIFIED IN THE POSTSCRIPT
5895-34615-0014	WITH THIS EXCEPTION GWYNPLAINE'S LAUGH WAS EVERLASTING
5895-34615-0015	THE JOYOUS CONVULSION OF LAUGHTER WAS AS A TRIBUTE PAID THEY SUBMITTED TO IT GLADLY BUT ALMOST MECHANICALLY
5895-34615-0016	BESIDES WE MUST REMEMBER THAT THEY HAD IN THOSE TIMES MEANS OF PUTTING PATIENTS TO SLEEP AND OF SUPPRESSING ALL SUFFERING ONLY THEN IT WAS CALLED MAGIC WHILE NOW IT IS CALLED ANAESTHESIA
5895-34615-0017	BESIDES THIS FACE THOSE WHO HAD BROUGHT HIM UP HAD GIVEN HIM THE RESOURCES OF A GYMNAST AND AN ATHLETE
5895-34615-0018	GWYNPLAINE HAD YELLOW HAIR
5895-34615-0019	HIS HAIR HAVING PROBABLY BEEN DYED WITH SOME CORROSIVE PREPARATION HAD LEFT IT WOOLLY AND ROUGH TO THE TOUCH
5895-34615-0020	ITS YELLOW BRISTLES RATHER A MANE THAN A HEAD OF HAIR COVERED AND CONCEALED A LOFTY BROW EVIDENTLY MADE TO CONTAIN THOUGHT
5895-34615-0021	THE OPERATION WHATEVER IT HAD BEEN WHICH HAD DEPRIVED HIS FEATURES OF HARMONY AND PUT ALL THEIR FLESH INTO DISORDER HAD HAD NO EFFECT ON THE BONY STRUCTURE OF HIS HEAD
5895-34622-0000	WHAT TRUE THINGS ARE TOLD IN STORIES
5895-34622-0001	IN GWYNPLAINE EVIL THOUGHTS NEVER RIPENED AND HE HAD THEREFORE NO REMORSE
5895-34622-0002	WHAT WAS THIS NOTHING
5895-34622-0003	FROM SIXTEEN EIGHTY TO SEVENTEEN O FOUR A GREAT CHANGE HAD TAKEN PLACE
5895-34622-0004	THE WHEELS WERE ALL OF THE SAME SIZE AND HIGH AS WAGON WHEELS
5895-34622-0005	THIS GREEN COLOUR HAD SUCCEEDED IN DRAWING ATTENTION TO THE CARRIAGE WHICH WAS KNOWN IN ALL THE FAIR GROUNDS AS THE GREEN BOX
5895-34622-0006	ON THE ROOF FROM A TUBE PAINTED GREEN LIKE THE REST SMOKE AROSE
5895-34622-0007	THE ASTONISHMENT WITH WHICH THE VILLAGERS REGARDED THIS MACHINE WAS OVERWHELMING
5895-34622-0008	THIS WAS THE OLD ESTABLISHMENT OF URSUS ITS PROPORTIONS AUGMENTED BY SUCCESS AND IMPROVED FROM A WRETCHED BOOTH INTO A THEATRE
5895-34622-0009	UNKNOWN PEOPLE HAD WORKED UPON HIS FACE HE ON THE OTHER HAND HAD WORKED ON HIS MIND AND BEHIND THIS WELL EXECUTED MASK HE HAD PLACED ALL THAT HE COULD OF THOUGHT
5895-34622-0010	THE EFFECT OF HIS APPEARANCE HAD BEEN SURPRISING
5895-34622-0011	SOME BELIEVED IT TO BE NATURAL OTHERS DECLARED IT TO BE ARTIFICIAL AND AS CONJECTURE WAS ADDED TO REALITY EVERYWHERE AT EVERY CROSS ROAD ON THE JOURNEY IN ALL THE GROUNDS OF FAIRS AND FETES THE CROWD RAN AFTER GWYNPLAINE
5895-34622-0012	THE CURIOSITY OF ONE PLACE EXHAUSTED THEY PASSED ON TO ANOTHER
5895-34622-0013	THIS FORTUNE HAD ALLOWED URSUS WHO WAS THE ADMINISTRATOR OF GWYNPLAINE'S SUCCESS TO HAVE THE CHARIOT OF HIS DREAMS CONSTRUCTED THAT IS TO SAY A CARAVAN LARGE ENOUGH TO CARRY A THEATRE AND TO SOW SCIENCE AND ART IN THE HIGHWAYS
5895-34622-0014	FOR THESE READ FIBI AND VINOS THAT WE MAY CONFORM TO ENGLISH PRONUNCIATION
5895-34622-0015	PHOEBE COOKED VENUS SCRUBBED THE TEMPLE
5895-34622-0016	URSUS AND HOMO TOOK CHARGE OF EACH OTHER
5895-34622-0017	THIS HUT IN A CORNER AT THE BACK TO THE RIGHT OF THE DOOR SERVED AS BEDCHAMBER AND DRESSING ROOM TO URSUS AND GWYNPLAINE
5895-34622-0018	THE CARAVAN WAS DIVIDED INTO THREE COMPARTMENTS PARTITIONED FROM EACH OTHER
5895-34622-0019	A LOFT UNDER THE ARCH OF THE ROOF CONTAINED THE SCENES AND ON OPENING A TRAP DOOR LAMPS APPEARED PRODUCING WONDERS OF LIGHT
5895-34622-0020	URSUS WAS THE POET OF THESE MAGICAL REPRESENTATIONS HE WROTE THE PIECES
5895-34622-0021	THEN I LOOK PERHAPS LIKE WHAT I AM
5895-34622-0022	THIS OPENING LOOKED FOR ALL THE WORLD LIKE A MOUTH OF HELL IN THE WORDS OF THE ITINERANT PURITAN PREACHERS WHO TURNED AWAY FROM IT WITH HORROR
5895-34622-0023	URSUS WAS IN EVERYTHING IN THE PIECE IN THE COMPANY IN THE KITCHEN IN THE ORCHESTRA
5895-34629-0000	IT WAS ESTABLISHED AT SOUTHWARK
5895-34629-0001	THE DOME OF SAINT PAUL'S WAS A DELIGHT TO URSUS
5895-34629-0002	SAINT PAUL IS A SAINT ONLY WITH EXTENUATING CIRCUMSTANCES
5895-34629-0003	HE ENTERED HEAVEN ONLY BY THE ARTISTS DOOR
5895-34629-0004	IT MIGHT HAVE BEEN ORDERED FOR THE GREEN BOX
5895-34629-0005	IT WAS A THEATRE READY MADE
5895-34629-0006	AGAINST THIS WALL WAS PLACED THE GREEN BOX WHICH THEY WERE ABLE TO DRAW INTO THE YARD OWING TO THE HEIGHT OF THE GATE
5895-34629-0007	THE PLACARD GWYNPLAINE THE LAUGHING MAN TAKEN FROM ITS NAIL IN THE GREEN BOX WAS HUNG UP CLOSE TO THE SIGN OF THE INN
5895-34629-0008	BY THE SIDE OF THE DOOR WAS CONSTRUCTED OFF HAND BY MEANS OF AN EMPTY BARREL A BOX FOR THE MONEY TAKER WHO WAS SOMETIMES FIBI AND SOMETIMES VINOS
5895-34629-0009	WE ARE IN LONDON SAID URSUS WE MUST BE PREPARED FOR THE GENTRY
5895-34629-0010	THEY BEGAN THEIR PERFORMANCES
5895-34629-0011	WITH THAT EXCEPTION THEIR SUCCESS BECAME SO GREAT THAT NO MOUNTEBANK MEMORY COULD RECALL ITS PARALLEL
5895-34629-0012	ALL SOUTHWARK RAN IN CROWDS TO ADMIRE THE LAUGHING MAN
5895-34629-0013	THE MERRY ANDREWS AND MOUNTEBANKS OF TARRINZEAU FIELD WERE AGHAST AT GWYNPLAINE
5895-34629-0014	GWYNPLAINE ATE UP THEIR PUBLIC
5895-34629-0015	BESIDES THE SMALL FRY THE SWALLOWERS OF SWORDS AND THE GRIMACE MAKERS REAL PERFORMANCES TOOK PLACE ON THE GREEN
5895-34629-0016	EVEN THIS COMEDIAN OF JAWS AND CLAWS WAS ECLIPSED IN SUCCESS
5895-34629-0017	THAT SUCCESS WAS PRODIGIOUS STILL IT REMAINED LOCAL
5895-34629-0018	IT TOOK A HUNDRED AND THIRTY YEARS FOR THE NAME OF SHAKESPEARE TO PENETRATE FROM ENGLAND INTO FRANCE
5895-34629-0019	THE GLORY OF GWYNPLAINE HAD NOT PASSED LONDON BRIDGE
5895-34629-0020	THESE WERE REMARKABLE TALENTS
5895-34629-0021	BESIDES THIS HE HARANGUED LIKE CICERO AS WE HAVE JUST SEEN SOLD HIS DRUGS ATTENDED SICKNESS AND EVEN HEALED THE SICK
5895-34629-0022	URSUS WAS SATISFIED WITH THE APPLAUSE OF SOUTHWARK BUT BY NO MEANS ASTONISHED
5895-34629-0023	AT EVERY PERFORMANCE THE YARD OF THE INN TRANSFORMED INTO A PIT WAS FILLED WITH A RAGGED AND ENTHUSIASTIC AUDIENCE
5895-34629-0024	THE EMPTYING OF TANKARDS DID NOT DECREASE THEIR SUCCESS
5895-34629-0025	THIS CONNOISSEUR WAS SUDDENLY FASCINATED AND HAD ADOPTED THE LAUGHING MAN
5895-34629-0026	HE DID NOT COME EVERY EVENING BUT WHEN HE CAME HE LED THE PUBLIC APPLAUSE GREW INTO ACCLAMATION SUCCESS ROSE NOT TO THE ROOF FOR THERE WAS NONE BUT TO THE CLOUDS FOR THERE WERE PLENTY OF THEM
5895-34629-0027	WHICH CLOUDS SEEING THAT THERE WAS NO ROOF SOMETIMES WEPT OVER THE MASTERPIECE OF URSUS
5895-34629-0028	HIS ENTHUSIASM CAUSED URSUS TO REMARK THIS MAN AND GWYNPLAINE TO OBSERVE HIM
5895-34629-0029	THEY HAD A GREAT FRIEND IN THIS UNKNOWN VISITOR
5895-34629-0030	ONE EVENING URSUS WAS IN THE SIDE SCENE WHICH WAS THE KITCHEN DOOR OF THE GREEN BOX SEEING MASTER NICLESS STANDING BY HIM SHOWED HIM THIS MAN IN THE CROWD AND ASKED HIM
5895-34629-0031	WHAT A PITY THAT HE SHOULD NOT BE A LORD
5895-34629-0032	HE WOULD MAKE A FAMOUS SCOUNDREL
5895-34629-0033	AT THAT HOUR THERE WAS NO ONE IN THE FAIR GROUND EXCEPT PERHAPS SOME REELING DRUNKARD MAKING STAGGERING SHADOWS IN DARK CORNERS
6241-61943-0000	ON THE SECOND OF THE MONTH AT TWO IN THE MORNING OUR PRECIOUS CARGO OF LUGGAGE WAS TAKEN ON BOARD THE GOOD SHIP VALKYRIE
6241-61943-0001	BUT IN THE CAUSE OF SCIENCE MEN ARE EXPECTED TO SUFFER
6241-61943-0002	WELL AND HAVE WE A FAIR WIND
6241-61943-0003	MY UNCLE WAS DELIGHTED FOR MYSELF MOODY AND DISSATISFIED I APPEARED ALMOST TO EXPECT A GLIMPSE OF THE GHOST OF HAMLET
6241-61943-0004	BUT NO GHOST OR ANYTHING ELSE APPEARED UPON THE ANCIENT WALLS
6241-61943-0005	THE FACT IS THE CASTLE IS MUCH LATER THAN THE TIME OF THE HEROIC PRINCE OF DENMARK
6241-61943-0006	NO MISTER HARDWIGG SAID THE CAPTAIN NO FEAR OF THAT
6241-61943-0007	AT ALL EVENTS WE SHALL GET THERE SOME DAY
6241-61943-0008	ON THE ELEVENTH DAY WE SIGHTED CAPE PORTLAND OVER WHICH TOWERED MOUNT MYRDALS YOKUL WHICH THE WEATHER BEING CLEAR WE MADE OUT VERY READILY
6241-61943-0009	THE VALKYRIE KEPT OFF THE COAST STEERING TO THE WESTWARD
6241-61943-0010	ON ALL SIDES WERE TO BE SEEN WHOLE SCHOOLS OF WHALES AND SHARKS
6241-61943-0011	NEARLY THE WHOLE POPULATION OF THE TOWN WAS ON FOOT TO SEE US LAND
6241-61943-0012	THE FACT WAS THAT SCARCELY ANY ONE OF THEM BUT EXPECTED SOME GOODS BY THE PERIODICAL VESSEL
6241-61943-0013	THEN WITHOUT FURTHER REMARK HE PUT HIS FINGER TO HIS LIPS FROWNED DARKLY AND DESCENDED INTO THE SMALL BOAT WHICH AWAITED US
6241-61943-0014	HE WAS HOWEVER BUT A CIVIL SERVANT A MAGISTRATE THE GOVERNOR OF THE ISLAND BARON TRAMPE
6241-61943-0015	THE PROFESSOR KNEW WHOM HE HAD TO DEAL WITH
6241-61943-0016	THIS MODEST SCHOLAR SPOKE NO LANGUAGES SAVE ICELANDIC AND LATIN
6241-61943-0017	WHEN THEREFORE HE ADDRESSED HIMSELF TO ME IN THE LANGUAGE OF HORACE WE AT ONCE CAME TO UNDERSTAND ONE ANOTHER
6241-61943-0018	NOW HARRY SAID MY UNCLE RUBBING HIS HANDS AN GOES WELL THE WORSE DIFFICULTY IS NOW OVER
6241-61943-0019	IN THE MEANTIME THERE IS NOT AN HOUR TO LOSE
6241-61943-0020	VERY LIKELY I MAY FIND THERE SOME MANUSCRIPTS FROM THE HAND OF SAKNUSSEMM
6241-61943-0021	I SHALL BE GLAD TO CONSULT THEM
6241-61943-0022	THEY WERE NOW HOWEVER ABSENT ON DUTY
6241-61943-0023	THOUGH NOT VERY LARGE IT APPEARED NOT LIKELY TO BE FILLED FOR CENTURIES
6241-61943-0024	I HAVE NOT THE SLIGHTEST DOUBT THAT IN HIGH WINDS ITS RED TILES WERE BLOWN OUT TO THE GREAT ANNOYANCE OF THE PASTOR AND CONGREGATION
6241-61943-0025	THANKS TO THE HEAT OF THESE RESIDENCES GRASS GROWS ON THE ROOF WHICH GRASS IS CAREFULLY CUT FOR HAY
6241-61943-0026	I SAW BUT FEW INHABITANTS DURING MY EXCURSION BUT I MET A CROWD ON THE BEACH DRYING SALTING AND LOADING CODFISH THE PRINCIPAL ARTICLE OF EXPORTATION
6241-61943-0027	THE MEN APPEARED ROBUST BUT HEAVY FAIR HAIRED LIKE GERMANS BUT OF PENSIVE MIEN EXILES OF A HIGHER SCALE IN THE LADDER OF HUMANITY THAN THE ESKIMOS BUT I THOUGHT MUCH MORE UNHAPPY SINCE WITH SUPERIOR PERCEPTIONS THEY ARE COMPELLED TO LIVE WITHIN THE LIMITS OF THE POLAR CIRCLE
6241-61946-0000	I BEGAN TO ENJOY THE EXHILARATING DELIGHT OF TRAVELING A LIFE OF DESIRE GRATIFICATION AND LIBERTY
6241-61946-0001	HANS OUR EXTRAORDINARY GUIDE WENT FIRST WALKING WITH A STEADY RAPID UNVARYING STEP
6241-61946-0002	OUR TWO HORSES WITH THE LUGGAGE FOLLOWED OF THEIR OWN ACCORD WITHOUT REQUIRING WHIP OR SPUR
6241-61946-0003	GEOGRAPHERS HAVE DIVIDED IT INTO FOUR PARTS AND WE HAD TO CROSS THE SOUTHWEST QUARTER WHICH IN THE VERNACULAR IS CALLED SUDVESTR FJORDUNGR
6241-61946-0004	WE TOOK OUR WAY THROUGH POOR AND SPARSE MEADOWS WHICH MADE A DESPERATE EFFORT EVERY YEAR TO SHOW A LITTLE GREEN
6241-61946-0005	THEY VERY RARELY SUCCEED IN A GOOD SHOW OF YELLOW
6241-61946-0006	I COULD NOT HELP SMILING TO SEE HIM LOOK SO BIG ON HIS LITTLE HORSE HIS LONG LEGS NOW AND THEN TOUCHING THE GROUND MADE HIM LOOK LIKE A SIX FOOTED CENTAUR
6241-61946-0007	SNOW TEMPEST IMPRACTICABLE ROADS ROCKS ICEBERGS NOTHING STOPS HIM
6241-61946-0008	WE MAY DO SO WAS MY REPLY BUT WHAT ABOUT OUR WORTHY GUIDE
6241-61946-0009	I SHOULD HAVE A VIOLENT ATTACK OF THE CRAMP IF I WERE NOT TO HAVE SOME SORT OF EXERCISE
6241-61946-0010	MY ARMS ARE RIGHT BUT MY LEGS ARE GETTING A LITTLE STIFF
6241-61946-0011	HERE AND THERE COULD BE SEEN AN ISOLATED FARM SOME SOLITARY BUR OR ICELANDIC HOUSE BUILT OF WOOD EARTH FRAGMENTS OF LAVA LOOKING LIKE BEGGARS ON THE HIGHWAY OF LIFE
6241-61946-0012	A FEW STRAY COWS AND SHEEP WERE ONLY SEEN OCCASIONALLY
6241-61946-0013	LITTLE DID I EXPECT HOWEVER THE SPECTACLE WHICH AWAITED US WHEN WE REACHED THE PENINSULA OF SNEFFELS WHERE AGGLOMERATIONS OF NATURE'S RUINS FORM A KIND OF TERRIBLE CHAOS
6241-61946-0014	IT CONSISTS SIMPLY OF A FEW HOUSES NOT WHAT IN ENGLAND OR GERMANY WE SHOULD CALL A HAMLET
6241-61946-0015	I TOOK OCCASION TO CONSULT THE MAP TO SEE WHERE GARDAR WAS TO BE FOUND
6241-61946-0016	THESE SACRED EDIFICES ARE HOWEVER VERY MUCH LIKE THESE PEOPLE WHO DO WITHOUT WATCHES AND NEVER MISS THEM
6241-61946-0017	TO RIDE OVER SALT WATER UPON THE BACK OF A LITTLE HORSE SEEMED TO ME ABSURD
6241-61946-0018	IN ANY CASE I SHALL TRUST RATHER TO MY OWN INTELLIGENCE THAN THEIRS
6241-61946-0019	BUT MY UNCLE WAS IN NO HUMOR TO WAIT
6241-61946-0020	AT LENGTH THE STURDY LITTLE PONY SPREADING OUT HIS LEGS IN A STIFF AND LUDICROUS ATTITUDE GOT FROM UNDER THE PROFESSOR'S LEGS AND LEFT HIM STANDING WITH BOTH FEET ON A SEPARATE STONE LIKE THE COLOSSUS OF RHODES
6241-61946-0021	HE SAYS TIDE REPLIED MY UNCLE TRANSLATING THE DANISH WORD FOR MY INFORMATION
6241-61946-0022	I THOROUGHLY UNDERSTOOD AND APPRECIATED THE NECESSITY FOR WAITING BEFORE CROSSING THE FJORD FOR THAT MOMENT WHEN THE SEA AT ITS HIGHEST POINT IS IN A STATE OF SLACK WATER
6241-61946-0023	ACCUSTOMED AS I HAD BEEN TO THE STEAM FERRY BOATS OF THE ELBE I FOUND THE LONG OARS OF THE BOATMEN BUT SORRY MEANS OF LOCOMOTION
6241-66616-0000	BUT THIS POWER OF DISCERNMENT WAS DENIED THEM AND ONLY IN AFTER YEARS WITH THE LOVED ONES OF THEIR OWN FIRESIDES CLOSE ABOUT THEM WAS THE WHOLE PICTURE REVEALED
6241-66616-0001	ONE DARK NIGHT AT THE HEAD OF A SCORE OF HIS TRIBE HE FELL UPON WABIGOON'S CAMP HIS OBJECT BEING THE ABDUCTION OF THE PRINCESS
6241-66616-0002	WHILE THE ATTACK WAS SUCCESSFUL IN A WAY ITS MAIN PURPOSE FAILED
6241-66616-0003	A COUNTER ATTACK WAS MADE UPON WOONGA AND HE WAS DRIVEN DEEP INTO THE WILDERNESS WITH GREAT LOSS
6241-66616-0004	THREE DAYS LATER MINNETAKI BECAME NEWSOME'S WIFE AT THE HUDSON BAY POST
6241-66616-0005	FROM THAT HOUR DATED ONE OF THE MOST SANGUINARY FEUDS IN THE HISTORY OF THE GREAT TRADING COMPANY A FEUD WHICH AS WE SHALL SEE WAS DESTINED TO LIVE EVEN UNTO THE SECOND GENERATION
6241-66616-0006	MEANWHILE TWO CHILDREN CAME TO BLESS THE HAPPY UNION OF NEWSOME AND HIS LOVELY INDIAN WIFE
6241-66616-0007	THE OTHER WAS A GIRL THREE YEARS YOUNGER AND NEWSOME INSISTED THAT SHE BE CALLED MINNETAKI
